Reaction: [#6:1]-[#6:2](=[O:3])-[#7:4](-,:[*:5])-,:[*:6]>>[#6:1]-[#6:2](=[O:3])-[#8]-,:[#1].[#7:4](-,:[*:5])-,:[*:6]
Product: [CH3:1][C:2](=[O:3])[N:4]([*:5])[*:6]
Core: [CH3:2][NH2:4]
ERROR: Failed to process decomposition of [H]c1c([H])c([H])[c:1]([C:2](=[O:3])[N:4]([c:5]2c([H])c([H])c([H])c(Cl)c2C([H])([H])N(C([H])([H])[H])[C:1]([H])([H])[C:2](=[O:3])[N+:4]2([H])[C:5]([H])([H])C([H])([H])OC([H])([H])[C:6]2([H])[H])[H:6])c([H])c1[H]
Index size 455
363	4	1 (4)	1 (4)	1 16
364	1	1 (1)	1 (1)	1 1
365	1	1 (1)	1 (1)	1 1
366	1	1 (1)	1 (1)	1 1
367	4	1 (3)	1 (4)	1 12
368	1	1 (1)	1 (1)	1 1
369	1	1 (1)	1 (1)	1 1
370	2	1 (2)	1 (2)	1 4
371	2	2 (2)	2 (2)	4 4
372	1	1 (1)	1 (1)	1 1
373	2	1 (2)	1 (1)	1 2
374	1	1 (1)	1 (1)	1 1
375	1	1 (1)	1 (1)	1 1
376	2	1 (2)	1 (2)	1 4
377	1	1 (1)	1 (1)	1 1
378	2	1 (2)	1 (2)	1 4
379	1	1 (1)	1 (1)	1 1
380	6	3 (4)	3 (6)	9 24
381	1	1 (1)	1 (1)	1 1
382	1	1 (1)	1 (1)	1 1
383	1	1 (1)	1 (1)	1 1
384	1	1 (1)	1 (1)	1 1
385	1	1 (1)	1 (1)	1 1
386	1	1 (1)	1 (1)	1 1
387	1	1 (1)	1 (1)	1 1
388	3	1 (3)	1 (2)	1 6
389	1	1 (1)	1 (1)	1 1
390	2	1 (2)	1 (2)	1 4
391	1	1 (1)	1 (1)	1 1
392	1	1 (1)	1 (1)	1 1
393	1	1 (1)	1 (1)	1 1
394	1	1 (1)	1 (1)	1 1
395	1	1 (1)	1 (1)	1 1
396	1	1 (1)	1 (1)	1 1
397	1	1 (1)	1 (1)	1 1
398	6	1 (6)	1 (4)	1 24
399	1	1 (1)	1 (1)	1 1
400	1	1 (1)	1 (1)	1 1
401	1	1 (1)	1 (1)	1 1
402	2	1 (2)	1 (2)	1 4
403	1	1 (1)	1 (1)	1 1
404	1	1 (1)	1 (1)	1 1
405	1	1 (1)	1 (1)	1 1
406	1	1 (1)	1 (1)	1 1
407	1	1 (1)	1 (1)	1 1
408	1	1 (1)	1 (1)	1 1
409	1	1 (1)	1 (1)	1 1
410	1	1 (1)	1 (1)	1 1
411	1	1 (1)	1 (1)	1 1
412	1	1 (1)	1 (1)	1 1
413	2	1 (2)	1 (2)	1 4
414	1	1 (1)	1 (1)	1 1
415	2	1 (2)	1 (2)	1 4
416	1	1 (1)	1 (1)	1 1
417	1	1 (1)	1 (1)	1 1
418	1	1 (1)	1 (1)	1 1
419	2	1 (2)	1 (2)	1 4
420	2	1 (2)	1 (2)	1 4
421	2	1 (2)	1 (2)	1 4
422	2	1 (1)	1 (2)	1 2
423	1	1 (1)	1 (1)	1 1
424	1	1 (1)	1 (1)	1 1
425	1	1 (1)	1 (1)	1 1
426	1	1 (1)	1 (1)	1 1
427	1	1 (1)	1 (1)	1 1
428	1	1 (1)	1 (1)	1 1
429	2	1 (2)	1 (2)	1 4
430	1	1 (1)	1 (1)	1 1
431	1	1 (1)	1 (1)	1 1
432	1	1 (1)	1 (1)	1 1
433	1	1 (1)	1 (1)	1 1
434	1	1 (1)	1 (1)	1 1
435	1	1 (1)	1 (1)	1 1
436	1	1 (1)	1 (1)	1 1
437	1	1 (1)	1 (1)	1 1
438	5	1 (5)	1 (3)	1 15
439	2	1 (2)	1 (1)	1 2
440	1	1 (1)	1 (1)	1 1
441	1	1 (1)	1 (1)	1 1
442	1	1 (1)	1 (1)	1 1
443	1	1 (1)	1 (1)	1 1
444	1	1 (1)	1 (1)	1 1
445	1	1 (1)	1 (1)	1 1
446	2	1 (2)	1 (2)	1 4
447	3	1 (2)	1 (3)	1 6
448	2	1 (2)	1 (2)	1 4
449	1	1 (1)	1 (1)	1 1
450	3	1 (3)	1 (1)	1 3
451	1	1 (1)	1 (1)	1 1
452	4	1 (4)	1 (4)	1 16
453	1	1 (1)	1 (1)	1 1
454	5	1 (3)	1 (5)	1 15
Total possible structures: 1444483908
